번호,업소명,도로명주소,소재지주소,지정일자,음식의유형,주된음식종류,전화번호
177,마늘장군보쌈,대전광역시 서구 도솔로 265-1 (내동),대전광역시 서구 내동 19-2 ,20150703,한식,마늘보쌈, 042 5264758
178,위아래복집,대전광역시 서구 한밭대로707번길 15 (월평동),대전광역시 서구 월평동 286 ,20080111,한식,복매운탕, 042 4831252
179,향우갈비촌,"대전광역시 서구 도마로 84, 1층 (도마동)",대전광역시 서구 도마동 74-10 1층 ,20051220,한식,돼지갈비,042 536 8867
180,뜨락비빔국수,"대전광역시 서구 계백로 1377 (도마동,1층)",대전광역시 서구 도마동 190-13 1층 ,20041210,분식,비빔국수,042 486 6565
181,을지식당가,"대전광역시 서구 둔산서로 95 (둔산동,지하1층)",대전광역시 서구 둔산동 1306 지하1층 ,20081020,한식,돌솥비빔밥, 042 4717038
182,5.5닭갈비본점,"대전광역시 서구 문정로 148, 2층 203호 (탄방동)",대전광역시 서구 탄방동 1034 ,20061016,한식,닭갈비, 042 4862315
183,장수골,"대전광역시 서구 계룡로500번길 88 (갈마동,1층)",대전광역시 서구 갈마동 1379 1층 ,20060331,한식,삼겹살, 042 5229211
184,천년의 정원,"대전광역시 서구 만년로67번길 18-13 (만년동,1,2층)","대전광역시 서구 만년동 322 1,2층 ",20051007,중식,중화요리, 042 4851797
185,왕가한정식,"대전광역시 서구 만년로68번길 45 (만년동,1층)",대전광역시 서구 만년동 362 1층 ,20051007,한식,한정식, 042 4896003
186,황제장어나라 내동점,"대전광역시 서구 도산로 245, 1층 (내동)",대전광역시 서구 내동 8-43 1층 ,20091015,한식,삽겹살구이,
187,씨제이푸드빌(주)빕스둔산점,"대전광역시 서구 대덕대로 243, 2층 (둔산동)",대전광역시 서구 둔산동 1026 광신빌딩 ,20091015,양식,"샐러드뷔페,스테이크", 042 4720997
188,본죽도마점,"대전광역시 서구 배재로 166 (도마동,1층)",대전광역시 서구 도마동 25-3 1층 ,20070425,한식,전복죽, 042 5241718
189,가마솥추어탕,"대전광역시 서구 계룡로571번길 23-13 (탄방동,1층)",대전광역시 서구 탄방동 687 1층 ,20061228,한식,추어탕,042 482 8118
190,추부추어탕,"대전광역시 서구 월평중로24번길 10, 1층 (월평동)",대전광역시 서구 월평동 531 1층 ,20060706,한식,추어탕,042 482 8897
191,금촌신관,"대전광역시 서구 둔산중로 138, 지하1층 (둔산동)",대전광역시 서구 둔산동 921 지하1층 ,20170713,한식,삼겹살구이,042 476 2567
192,우래정,"대전광역시 서구 도마5길 7 (도마동,1층)",대전광역시 서구 도마동 89-8 1층 ,20060331,한식,삼겹살, 042 5242210
193,곽만근갈비탕대전갈마점,"대전광역시 서구 계룡로 310, 1층 (갈마동)",대전광역시 서구 갈마동 274-2 1층 ,20121221,한식,갈비탕, 042 5223308
194,시골길,"대전광역시 서구 둔산로31번길 61 (둔산동,1층)",대전광역시 서구 둔산동 997 1층 ,20140404,한식,낙지볶음,042 487 6031
195,지리산산골농장,"대전광역시 서구 둔산남로105번길 15, 2층 (둔산동)",대전광역시 서구 둔산동 1433 2층 ,20140707,한식,삼겹살구이,042 472 0333
196,삼순이시골감자탕,"대전광역시 서구 복수동로 71 (복수동,1층)",대전광역시 서구 복수동 837 1층 ,20061016,한식,감자탕, 042 5869800
197,승인컴퍼니 주식회사,"대전광역시 서구 문정로 40 (탄방동,1,2층)","대전광역시 서구 탄방동 655 1,2층 ",20060706,일식,활어회,
198,새마을식당,"대전광역시 서구 둔산중로58번길 35 (둔산동,1층)",대전광역시 서구 둔산동 1461 1층 ,20091015,한식,육계장,
199,대관령양푼이동태찌개,"대전광역시 서구 변동로 110, 1층 일부호 (변동)",대전광역시 서구 변동 43-9 ,20061228,한식,동태찌개, 042 5367751
200,양평호성할매해장국,"대전광역시 서구 둔산북로 36, 1층 104,105호 (둔산동)",대전광역시 서구 둔산동 963 ,20170428,한식,해장국, 042 4837733
201,동방명주,"대전광역시 서구 문예로 15 (탄방동,301호)",대전광역시 서구 탄방동 732 301호 ,20061016,중식,사천탕면, 042 4863888
202,황토우렁쌈밥,"대전광역시 서구 대덕대로234번길 29 (둔산동,1층(103호))",대전광역시 서구 둔산동 1323 1층(103호) ,20140404,한식,쌈밥,
203,본가옥해장국,"대전광역시 서구 동서대로 1052 (변동,1층)",대전광역시 서구 변동 70-38 1층 ,20070425,한식,해장국,042 523 9343
204,화평동왕냉면,"대전광역시 서구 동서대로 954 (내동,1층)",대전광역시 서구 내동 152-1 1층 ,20070813,한식,돼지갈비, 042 5349255
205,청사참치,"대전광역시 서구 둔산중로134번길 29 (둔산동,201호)",대전광역시 서구 둔산동 924 201호 ,20080526,일식,참치회,042 471 9955
206,영희네매운갈비찜,"대전광역시 서구 신갈마로 156-12, 1층 (갈마동)",대전광역시 서구 갈마동 378-31 ,20141223,한식,갈비찜,070 81250928
207,해동토종칼국수족발,"대전광역시 서구 도림4길 52, 1층2층 (도마동)",대전광역시 서구 도마동 565-70 ,20131014,분식,칼국수, 042 5379110
208,춘천고려닭갈비,"대전광역시 서구 도산로 270 (가장동,1층)",대전광역시 서구 가장동 39-1 1층 ,20090729,한식,닭갈비, 042 5328555
209,5.5춘천닭갈비가장점,"대전광역시 서구 가장로 83-3 (괴정동,1층)",대전광역시 서구 괴정동 84-51 1층 ,20120501,한식,닭갈비, 042 5315155
210,영천식육식당,"대전광역시 서구 둔산중로46번길 22 (둔산동,1층)",대전광역시 서구 둔산동 1448 1층 ,20081020,한식,등심구이, 042 4713399
211,고향흑염소,대전광역시 서구 도솔로 88 (도마동),대전광역시 서구 도마동 107-29 ,20081020,한식,흑염소 전골, 042 5283025
212,금강왕생삼겹,"대전광역시 서구 둔산대로117번길 95 (만년동,리더스타운 C동 1층)",대전광역시 서구 만년동 308 리더스타운 C동 1층 ,20080111,한식,생삼겹,042 486 1922
213,한경희개성만두,"대전광역시 서구 신갈마로 15, 1층 (내동)",대전광역시 서구 내동 152-6 ,20090729,한식,만두전골,042 527 7799
214,강남면옥,"대전광역시 서구 둔산로123번길 15 (둔산동,1층)",대전광역시 서구 둔산동 1410 1층 ,20090729,한식,"갈비탕,냉면", 042 4729996
215,금래원,"대전광역시 서구 배재로91번길 34, 1층 (도마동)",대전광역시 서구 도마동 329-1 1층 ,20161213,중식,짜장면, 042 5313373
216,립스틱해물뚝배기,"대전광역시 서구 둔산대로117번길 95, B동 101호 (만년동)",대전광역시 서구 만년동 306 B동 101호,20081229,한식,해물찜,042 483 8877
217,초원본가,"대전광역시 서구 계룡로571번길 23-15 (탄방동,1층)",대전광역시 서구 탄방동 687-1 1층 ,20091015,한식,등심구이, 042 4881667
218,정일품두손두부,"대전광역시 서구 둔산대로117번길 34, 1층 (만년동)",대전광역시 서구 만년동 380 ,20170713,한식,두부,042 484 8004
219,도솔촌,"대전광역시 서구 배재로 78 (도마동,102호)",대전광역시 서구 도마동 335-35 102호 ,20131230,한식,닭백숙,042 527 8787
220,(주)인디,"대전광역시 서구 대덕대로 246 (둔산동,B동 102호)",대전광역시 서구 둔산동 1369 B동 102호 ,20091217,기타,커리,042 471 7052
221,크래버 대게나라,"대전광역시 서구 둔산서로 17 (둔산동,(1층))",대전광역시 서구 둔산동 1254 (1층) ,20140404,한식,대게찜,042 477 1002
222,만년애한우바보곰탕,"대전광역시 서구 둔산대로117번길 95 (만년동,리더스타운 A동 201호)",대전광역시 서구 만년동 306 리더스타운 A동 201호 ,20091015,한식,곰탕,042  4884292
223,장수촌버섯이야기,"대전광역시 서구 도산로 262 (가장동,(1층))",대전광역시 서구 가장동 39-40 (1층) ,20090729,한식,동충하초샤브샤브,042 524 2798
224,총체보리한우타운,"대전광역시 서구 만년로 80 (만년동,(1층))",대전광역시 서구 만년동 343 (1층) ,20150327,한식,한우구이,042 482 0985
225,토담낙지한마당,"대전광역시 서구 둔산로123번길 28 (둔산동,(1층))",대전광역시 서구 둔산동 1474 (1층) ,20110429,한식,낙지볶음,042 489 5330
226,제주유기농쌈밥촌,"대전광역시 서구 복수남로 17 (복수동,(1층))",대전광역시 서구 복수동 841 (1층) ,20091217,한식,쌈밥,042 583 7707
227,허허감자탕,"대전광역시 서구 도솔로305번길 64 (괴정동,(1층))",대전광역시 서구 괴정동 116-25 (1층) ,20161014,한식,감자탕,042 537 3889
228,백마강숯불민물장어,"대전광역시 서구 변동중로 67 (변동,외3필지 (1층))",대전광역시 서구 변동 71-6 외3필지 (1층) ,20111114,한식,장어구이,042 526 1881
229,수복삼계탕,"대전광역시 서구 둔산중로 66 (둔산동,(매트로팰리스 109,110호))","대전광역시 서구 둔산동 1405 (매트로팰리스 109,110호) ",20110429,한식,삼계탕,042 489 8233
230,갈비가,"대전광역시 서구 유등로65번길 13 (복수동,(1층))",대전광역시 서구 복수동 694 (1층) ,20100722,한식,소고기 구이,042 585 8388
231,명품묵은정,"대전광역시 서구 둔산로74번길 25, 1층 (둔산동)",대전광역시 서구 둔산동 1209 1층 ,20150327,한식,묵은지찜,042 472 3921
232,심청아배고파,"대전광역시 서구 도솔로 78, 1층 (도마동)",대전광역시 서구 도마동 106-14 1층 ,20101104,한식,삼겹살,042 522 7792
233,엘에이농장,"대전광역시 서구 둔산로137번길 17 (둔산동,(1층))",대전광역시 서구 둔산동 1460 (1층) ,20160711,한식,소갈비,042 482 9291
234,500돈,"대전광역시 서구 둔산남로105번길 18 (둔산동,(1,2층))","대전광역시 서구 둔산동 1492 (1,2층) ",20150327,한식,삼겹살,042 483 5641
235,샤브향관저점,"대전광역시 서구 구봉로131번길 38 (관저동,(2층203,204,205호))","대전광역시 서구 관저동 1518 (2층203,204,205호) ",20111223,한식,샤브샤브,042 542 9914
236,오지다다복수육국밥,"대전광역시 서구 월평북로 89 (월평동,(1층))",대전광역시 서구 월평동 239 (1층) ,20120501,한식,콩나물해장국,042 472 7888
237,쌈채우리,"대전광역시 서구 대덕대로176번길 51 (둔산동,(지하1층))",대전광역시 서구 둔산동 1133 (지하1층) ,20131014,한식,쌈밥,042 488 9991
238,쌍둥이수육국밥,"대전광역시 서구 청사서로 8 (월평동,(1층))",대전광역시 서구 월평동 297 (1층) ,20130722,한식,수육국밥,042 472 1420
239,일등석갈비,"대전광역시 서구 둔산대로117번길 17 (만년동,(3층))",대전광역시 서구 만년동 358 (3층) ,20121221,한식,석갈비,042 625 0620
240,온누리샤브샤브,"대전광역시 서구 동서대로 1147, 1층 (가장동)",대전광역시 서구 가장동 32-23 1층 ,20170707,한식,샤브샤브,042 534 5292
241,쌈꾼,"대전광역시 서구 변동로 110, 1층 (변동)",대전광역시 서구 변동 43-9 1층 ,20130722,한식,"김치찌개,삼겹살",042 523 3393
242,여자만장어구이,"대전광역시 서구 만년로68번길 38, 1층 (만년동)",대전광역시 서구 만년동 367 ,20131230,한식,장어구이,042 486 6687
243,손수차림,"대전광역시 서구 신갈마로 3, 1층 (내동)",대전광역시 서구 내동 152-26 1층 ,20130430,한식,숯불구이,042 525 3338
244,베스타까르르스타,"대전광역시 서구 만년로 70, 9~11층 (만년동)",대전광역시 서구 만년동 339 ,20130722,뷔페,뷔페,042  4873366
245,토종칼국수,"대전광역시 서구 신갈마로 172, 2층 (갈마동)",대전광역시 서구 갈마동 338-7 ,20130722,분식,냉채족발,042 535 9055
246,김삿갓,"대전광역시 서구 둔산남로105번길 28, 1층 (둔산동)",대전광역시 서구 둔산동 1489 1층 ,20170428,한식,"족발, 보쌈",042 489 0080
247,로보쿡둔산점,"대전광역시 서구 둔산로 15, 1층,지하1층 (둔산동)","대전광역시 서구 둔산동 970 (1층,지하1층) ",20141223,양식,화덕피자,042 471 5009
248,하늘한식부페,"대전광역시 서구 둔산중로 54, 15층 (둔산동)",대전광역시 서구 둔산동 1412 ,20141013,한식,부페,042 485 5577
249,경복궁앤삿뽀로,"대전광역시 서구 대덕대로 366, 2층 (만년동)",대전광역시 서구 만년동 282 2층 ,20170428,한식,등심구이,042 482 7766
250,구룡포자연산막회,"대전광역시 서구 청사로123번길 11, 2층 (월평동)",대전광역시 서구 월평동 275 2층 ,20141013,일식,자연산막회,042 221 1880
251,소나무풍경,"대전광역시 서구 괴정로116번길 42, 1층 (괴정동)",대전광역시 서구 괴정동 85-2 1층 ,20171030,한식,곰탕,042 525 9925
252,양지식당,대전광역시 서구 갈마로 46 (갈마동),대전광역시 서구 갈마동 363-5 ,20160324,한식,삼겹살,042 527 2238
253,착한낙지 정림점,"대전광역시 서구 계백로 1269, 1층 (정림동)",대전광역시 서구 정림동 267 1층 ,20141223,한식,"낙지볶음, 연포탕",042 536 0076
254,스시오니,"대전광역시 서구 대덕대로234번길 46, 1층 (둔산동)",대전광역시 서구 둔산동 1309 1층 ,20151020,일식,활어회,042 472 3355
255,구르메,"대전광역시 서구 둔산대로117번길 22, 2층 (만년동)",대전광역시 서구 만년동 377 2층 ,20150327,한식,한정식,042 472 0776
256,갑부본가,"대전광역시 서구 계백로 1145, 좋은빌딩 1층 101,102,103호 (가수원동)",대전광역시 서구 가수원동 1051 좋은빌딩 ,20150703,한식,석갈비,042 538 1800
257,보성이네생삼겹살전문점,"대전광역시 서구 용소로12번길 6-11, 1층 (가수원동)",대전광역시 서구 가수원동 921 1층 ,20170428,한식,삼겹살,042 546 7892
258,진성아구찜,대전광역시 서구 도안동로31번길 20-16 (가수원동),대전광역시 서구 가수원동 932 ,20151020,한식,아구찜,042 541 3940
259,대대로감자탕,"대전광역시 서구 둔산중로134번길 21, 1층 110호 (둔산동)",대전광역시 서구 둔산동 923 ,20150703,한식,감자탕,042 482 6767
260,참맛있는칼국수,"대전광역시 서구 청사서로54번길 17, 2층 (월평동, 2층일부)",대전광역시 서구 월평동 229 ,20151230,한식,칼국수,042 483 9259
261,추성순대족발,"대전광역시 서구 둔산중로134번길 39, 1층 108호 (둔산동)",대전광역시 서구 둔산동 925 ,20151230,한식,순대국밥,042 824 2620
262,시온성,"대전광역시 서구 구봉산북로280번길 12, 1층 (관저동)",대전광역시 서구 관저동 1613-1 ,20161014,중식,짜장면,042 541 1700
263,토종칼국수 복수점,"대전광역시 서구 복수남로 6, 1층 (복수동, 1층일부)",대전광역시 서구 복수동 729 ,20170428,한식,칼국수,042 581 5662
264,까치돌구이,"대전광역시 서구 문정로89번길 32, 1층 (탄방동, 1층일부)",대전광역시 서구 탄방동 733 ,20160324,한식,삼겹살,042 472 0492
265,오가네대구왕뽈떼기,"대전광역시 서구 갈마로 36, 1층 (갈마동)",대전광역시 서구 갈마동 338-3 ,20161213,한식,대구뽈찜,042 526 3007
266,한우전문점 눈꽃,"대전광역시 서구 둔산남로 100, 8층 (탄방동)",대전광역시 서구 탄방동 724 ,20171226,한식,등심구이,042 485 7796
267,(주)유성컨트리클럽본관식당,대전광역시 유성구 현충원로 200 (덕명동),대전광역시 유성구 덕명동 215-7 ,20040901,,전골, 042 8227103
268,숯골원조냉면식당,대전광역시 유성구 신성로 122 (신성동),대전광역시 유성구 신성동 166-1 ,20110405,,"냉면,백숙", 042 8616730
269,유성삼겹살,대전광역시 유성구 계룡로59번길 9 (봉명동),대전광역시 유성구 봉명동 469-30 ,20040901,,불고기류전문, 042 8235222
270,연래춘대반점식당,대전광역시 유성구 대학로 78 (궁동),대전광역시 유성구 궁동 482-8 외 1필지 ,20040901,,중국음식(자장면등), 042 8251177
271,삼복가든,"대전광역시 유성구 온천서로 32-18, 지상1층 (봉명동)",대전광역시 유성구 봉명동 440-18 ,20130429,한식,"생갈비,생등심",042 822 5949
272,나들이 일식,"대전광역시 유성구 온천로 44, 지상2층 (봉명동)",대전광역시 유성구 봉명동 551-2 지상2층 ,20111227,,"생선회,참치", 042 8255548
273,장수진곰탕,"대전광역시 유성구 온천서로 26, 지상1층 (봉명동)",대전광역시 유성구 봉명동 441-14 ,20130429,한식,곰탕,042 822 3131
274,임진강장어,"대전광역시 유성구 문화원로 143, 지상1층 (봉명동)",대전광역시 유성구 봉명동 666-2 지상1층 ,20090929,,장어구이,042  8259200
275,미소정,대전광역시 유성구 노은서로142번길 47 (지족동),대전광역시 유성구 지족동 887 ,20040901,,"쭈꾸미양념구이, 우렁쌈밥, 돼지갈비", 042477 0933
276,김영희 강남동태찜,"대전광역시 유성구 은구비로 2, 1층 (지족동)",대전광역시 유성구 지족동 884-1 ,20040901,,"동태찜,탕", 042 4778063
277,식후경,대전광역시 유성구 북유성대로 393 (외삼동),대전광역시 유성구 외삼동 334 ,20050411,,"석갈비, 훈제오리", 042 8245656
278,화평동 왕냉면,대전광역시 유성구 문화원로 124 (봉명동),대전광역시 유성구 봉명동 642-1 ,20080717,,"돼지갈비,냉면", 042 8230071
279,어수사일식,"대전광역시 유성구 온천로 22, 지상1층 (봉명동)",대전광역시 유성구 봉명동 445-3 1층 ,20051004,,"생선회,초밥",042 825 4949
280,채울,대전광역시 유성구 진잠로78번길 48 (원내동),대전광역시 유성구 원내동 309-4 ,20050701,,감자탕, 042 5425533
281,대전맛집 풍국면 봉명점,"대전광역시 유성구 온천동로65번길 39, 지상1층 101,102,103호 (봉명동, 노블레스투)","대전광역시 유성구 봉명동 692-1 노블레스투 1층 101,102,103호 ",20160406,한식,간장게장,042 826 4640
282,고려한방삼계탕,"대전광역시 유성구 문화원로14번길 42, 지상1층 (장대동)",대전광역시 유성구 장대동 360-10 1층 ,20080717,,삼계탕,042 823 2330
283,도안동감나무집(관평점),"대전광역시 유성구 테크노중앙로 54, 지상2층 201,202호 (관평동)","대전광역시 유성구 관평동 943 외 1필지 지상2층 201,202호",20121025,,"오리수육, 누룽지백숙",042 935 3350
284,외양간 암돼지,"대전광역시 유성구 문화원로10번길 2, 지상1층 101호 (장대동)",대전광역시 유성구 장대동 356-23 지상1층 101호 ,20151216,육류,소고기 구이, 042 8252860
285,살루떼,"대전광역시 유성구 엑스포로 240, 1층 (원촌동)",대전광역시 유성구 원촌동 48-2 1층 ,20111004,경양식,"스테이크,스파게티",042 862 0052
286,리원,"대전광역시 유성구 테크노중앙로 155 (용산동, 테크노피아 2층 201~204 3층 301~304)",대전광역시 유성구 용산동 575 테크노피아 2층 201~204 3층 301~304 ,20091216,,중국요리,042 671 8888
287,송정설렁탕,"대전광역시 유성구 온천로 53, 지상1층 102호,103호 (봉명동)","대전광역시 유성구 봉명동 537-6 대양오피스텔 지상1층 102호,103호 ",20170629,한식,설렁탕,042 826 1228
288,토종칼국수,"대전광역시 유성구 노은서로 61, 지상1층 (노은동)",대전광역시 유성구 노은동 564-5 1층 ,20091216,,칼국수,042 822 1118
289,띠울석갈비(테크노점),"대전광역시 유성구 테크노4로 57, 지상1층 (관평동)",대전광역시 유성구 관평동 748 지상1층 ,20100408,,"석갈비,갈비탕",042 935 3535
290,예가,"대전광역시 유성구 은구비로 8, 지상1층 (지족동)",대전광역시 유성구 지족동 884-3 1층 ,20120717,한식,석갈비, 042 8255370
291,샤브향 관평점,"대전광역시 유성구 테크노중앙로 55, 지상1층 102호 (관평동, 에이스타워)",대전광역시 유성구 관평동 798 에이스타워 1층 102호,20111004,한식,"월남쌈,샤브샤브",042 936 9233
292,옛날숯불갈비,"대전광역시 유성구 계룡로74번길 13-7, 지상1층 (봉명동)",대전광역시 유성구 봉명동 447-10 1층 ,20110719,,"소갈비,돼지갈비", 042 8227055
293,인디,"대전광역시 유성구 테크노중앙로 32, 지상2층 202,203호 (관평동)","대전광역시 유성구 관평동 806 2층 202,203호 ",20110405,,"인도요리(커리,탄두리)", 042 4717052
294,동두천철판부대찌개,"대전광역시 유성구 반석동로34번길 39, 지상1층 (반석동)",대전광역시 유성구 반석동 644-8 지상1층 ,20160406,한식,부대찌개,042 826 6071
295,오시오칼국수,"대전광역시 유성구 노은로410번길 8 (하기동,지상1층1동)",대전광역시 유성구 하기동 345-1 지상1층1동 ,20111004,분식,칼국수,042 822 1016
296,착한낙지,"대전광역시 유성구 유성대로654번길 22, 지상1층 (구암동)",대전광역시 유성구 구암동 624-1 1층 ,20120717,한식,낙지요리,042 822 5480
297,박가원옻닭,"대전광역시 유성구 대학로76번안길 62, 지상1층 (궁동)",대전광역시 유성구 궁동 490-11 ,20131023,한식,"돌솥밥,포천이동갈비",042  4722388
298,샤브향(노은점),"대전광역시 유성구 노은로 71, 지상1층 101호 (노은동, 노은스타돔아파트)",대전광역시 유성구 노은동 553-8 노은스타돔아파트 지상1층 101호,20121025,,월남썀샤브,042 256 2002
299,라마띠네,"대전광역시 유성구 유성대로1689번길 69, 지상1층 (전민동)",대전광역시 유성구 전민동 460 지상1층 ,20130719,한식,"고추장양념구이,한방오리백숙",042 865 3111
300,원조쌈밥 대전유성점,"대전광역시 유성구 상대동로2번길 65, 지상1층 (상대동)",대전광역시 유성구 상대동 477-1 지상1층 ,20141127,한식,쌈밥,042 825 3534
301,더함뜰,"대전광역시 유성구 동서대로 181, 1층 (덕명동)",대전광역시 유성구 덕명동 171-13 1층 ,20140703,한식,"한정식, 돼지갈비",042 823 9293
302,제주유기농쌈밥촌(본점),"대전광역시 유성구 진잠로150번길 75, 지상1층 (원내동)",대전광역시 유성구 원내동 228-1 지상1층 ,20140930,한식,유기농쌈밥,042 541 8834
303,라라코스트(관평점),"대전광역시 유성구 관평2로 32, 지상2층 (관평동)",대전광역시 유성구 관평동 923 지상2층 ,20150630,양식,"파스타, 화덕피자",070 82483230
304,한마음면옥,"대전광역시 유성구 학하서로77번길 17, 지상1층 (계산동)",대전광역시 유성구 계산동 711-3 지상1층 ,20140930,한식,냉면,042 822 0159
305,춘수사,"대전광역시 유성구 온천북로33번길 21-8, 지상2층 (봉명동)",대전광역시 유성구 봉명동 630-4 지상2층 ,20141127,일식,"생선회,초밥",042 825 9033
306,하누정,"대전광역시 유성구 월드컵대로308번길 21-10, 지상1층 (상대동)",대전광역시 유성구 상대동 453-3 지상1층 ,20161011,한식,"등심, 안창",042 823 3337
307,유성봉명한우,"대전광역시 유성구 계룡로74번길 55, 지상2층 (봉명동)",대전광역시 유성구 봉명동 556-21 지상2층 ,20150925,한식,한우모듬,042 822 7176
308,늘봄한우,"대전광역시 유성구 문화원로 129, 지상1층 102호 (봉명동)",대전광역시 유성구 봉명동 662-5 봉명매드진빌딩 지상1층 102호 ,20150925,한식,소고기모듬,042 825 3092
309,기린더매운갈비찜,"대전광역시 유성구 봉명서로 51-10, 지상1층 (봉명동)",대전광역시 유성구 봉명동 1031-7 지상1층 ,20161011,한식,돼지갈비찜,042 824 9778
310,유생촌,"대전광역시 유성구 엑스포로 240, 지상1층 (원촌동)",대전광역시 유성구 원촌동 48-2 지상1층 ,20161011,한식,돈가스,042 864 3200
311,교동면옥 대전구암점,"대전광역시 유성구 월드컵대로 289, 지상2층 (구암동)",대전광역시 유성구 구암동 620-5 지상2층 ,20160406,한식,돼지갈비,042 822 9291
312,영화반점,"대전광역시 대덕구 신탄진동로23번길 46 (신탄진동,(1층))",대전광역시 대덕구 신탄진동 139-17 (1층) ,20081231,중식,"탕수육,삼선짜장", 042931 4158
313,이가촌,대전광역시 대덕구 아리랑로 141 (읍내동),대전광역시 대덕구 읍내동 360-3 ,19940615,,삼겹살, 042 6313900
314,순민물장어구이식당,대전광역시 대덕구 신탄진동로24번길 9 (신탄진동),대전광역시 대덕구 신탄진동 156-7 ,20111228,한식,장어구이, 042 9321946
315,황해면옥식당,대전광역시 대덕구 한남로149번길 1 (오정동),대전광역시 대덕구 오정동 490-1 ,20010404,,돼지갈비, 042 6257798
316,구미횟집,대전광역시 대덕구 신탄진동로 60 (신탄진동),대전광역시 대덕구 신탄진동 150-2 ,20140711,생선회,활어회, 042 9325912
317,꽃돼지하우스식당,대전광역시 대덕구 덕암북로72번길 30 (덕암동),대전광역시 대덕구 덕암동 11-6 ,20040408,한식,생삼겹살, 042 9333710
318,옥순네추어칼국수,"대전광역시 대덕구 송촌남로 21-1, 1층 (송촌동)",대전광역시 대덕구 송촌동 246-12 ,20091230,,"추어칼국수, 추어탕", 042 6327640
319,장수촌식당,"대전광역시 대덕구 신탄진로 512, 1층 (상서동)","대전광역시 대덕구 상서동 349-1 ,3,13,396-1,8(1층) ",20080407,,"누룽지삼계탕, 쟁반막국수",042 934 7510
320,갈밭식당,대전광역시 대덕구 대청호수로 1553 (갈전동),대전광역시 대덕구 갈전동 238-8 ,20020415,,매운탕, 042 9323872
321,임단아갈비탕전문점,"대전광역시 대덕구 신탄진동로 13, 1층 (신탄진동)","대전광역시 대덕구 신탄진동 154-5 ,29 ",19991206,,갈비탕,042 935 2837
322,설악칡냉면,대전광역시 대덕구 덕암북로58번길 7 (덕암동),대전광역시 대덕구 덕암동 9-7 ,20080707,,"칡냉면, 돼지갈비, 갈비탕",042 933 5252
323,이조갈비식당,대전광역시 대덕구 신탄진동로23번길 51 (신탄진동),대전광역시 대덕구 신탄진동 141-6 ,20081230,,"돼지갈비,삼겹살", 042 9329050
324,설악추어탕식당,"대전광역시 대덕구 대덕대로1458번길 8, 1층 (목상동)",대전광역시 대덕구 목상동 147-2 (1층) ,20070702,한식,추어탕, 042 9324466
325,늘봄식당,대전광역시 대덕구 신탄진동로 38-1 (신탄진동),대전광역시 대덕구 신탄진동 160-2 ,20081230,,"차돌박이,돼지갈비", 042 9327282
326,콩마니손두부,"대전광역시 대덕구 동춘당로44번길 12, 1층 (송촌동)",대전광역시 대덕구 송촌동 504-5 (1층) ,20100705,,"손두부,두부전골,청국장",042 626 5288
327,신모란식당,대전광역시 대덕구 석봉로44번길 39 (석봉동),대전광역시 대덕구 석봉동 180-17 ,20020415,,삼겹살, 042 9320325
328,홍콩삼겹살식당,대전광역시 대덕구 계족산로81번길 11 (송촌동),대전광역시 대덕구 송촌동 475-4 ,20060925,,생삼겹살, 042 6286755
329,리에또식당,대전광역시 대덕구 선비마을로6번길 29 (송촌동),대전광역시 대덕구 송촌동 551-5 ,20080707,,"치킨스테이크, 해물스파케티, 고구마피자",6387060
330,나래원식당,"대전광역시 대덕구 비래동로16번길 13, 1층 (비래동)",대전광역시 대덕구 비래동 139-10 (1층) ,20110404,한식,"달볶음탕, 안동찜닭",042 252 0838
331,혜성옥,대전광역시 대덕구 한밭대로 1147 (중리동),대전광역시 대덕구 중리동 410-3 ,20030414,,돌솥설렁탕,042 673 4895
332,월산본가,"대전광역시 대덕구 계족산로81번길 87, 2층 (송촌동)",대전광역시 대덕구 송촌동 449-4 (2층) ,20150923,한식,"갈비탕, 석갈비", 042 6216500
333,청주남주동해장국식당,대전광역시 대덕구 대덕대로1458번길 9 (목상동),대전광역시 대덕구 목상동 148-4 ,20040408,,해장국, 042 9359575
334,광천순대대덕점,"대전광역시 대덕구 한남로137번길 31, 1층 (오정동)",대전광역시 대덕구 오정동 489-22 (1층) ,20161014,한식,순대국밥,042 625 7875
335,푸짐한활어회본점식당,대전광역시 대덕구 송촌남로56번길 1 (송촌동),대전광역시 대덕구 송촌동 292-1 ,20060630,,활어회,042 626 8008
336,구구전복삼계탕,"대전광역시 대덕구 비래서로81번길 2, 1층 (비래동)",대전광역시 대덕구 비래동 151-13 (1층) ,20150713,한식,삼계탕, 042 6239952
337,신탄면옥,대전광역시 대덕구 덕암북로104번길 74 (덕암동),대전광역시 대덕구 덕암동 48-10 ,20150818,한식,"돼지갈비, 냉면", 042 9358288
338,더원막창,"대전광역시 대덕구 한밭대로 1144, 1층 (중리동)",대전광역시 대덕구 중리동 236-6 (1층) ,20060925,한식,"소막창, 돼지막창",042 621 1992
339,조선화로집 송촌점,"대전광역시 대덕구 동춘당로 79, 1층 (송촌동)",대전광역시 대덕구 송촌동 477-1 (1층) ,20140410,식육취급,갈비,042 632 9295
340,소륜소반,"대전광역시 대덕구 대전로 1394, 1층 (읍내동)",대전광역시 대덕구 읍내동 248-6 외 3필지(1층) ,20150923,한식,감자탕,042 637 6601
